,index,name,arrival,departure,drivingTimeFromPreviousStationInSeconds,latitude,longitude,train_duration,medium
0,1,Oberursel(Taunus),2017-12-16T04:18:00+01:00,2017-12-16T04:19:00+01:00,455.0,50.198687,8.587791,0,train
1,2,Oberursel-Stierstadt,2017-12-16T04:21:00+01:00,2017-12-16T04:21:00+01:00,329.0,50.185203,8.584788,120,train
2,3,OberurselWeißkirchen/Steinbach,2017-12-16T04:22:00+01:00,2017-12-16T04:23:00+01:00,184.0,50.173831,8.586838,60,train
3,4,Frankfurt-Rödelheim,2017-12-16T04:27:00+01:00,2017-12-16T04:27:00+01:00,707.0,50.124517,8.607028,240,train
4,5,Frankfurt(Main)West,2017-12-16T04:30:00+01:00,2017-12-16T04:30:00+01:00,605.0,50.119204,8.639326,180,train
5,6,Frankfurt(Main)Messe,2017-12-16T04:32:00+01:00,2017-12-16T04:32:00+01:00,133.0,50.112013,8.643434,120,train
6,7,Frankfurt(M)Galluswarte,2017-12-16T04:33:00+01:00,2017-12-16T04:34:00+01:00,165.0,50.104767,8.644,60,train
7,8,Frankfurt Hbf (tief),2017-12-16T04:36:00+01:00,2017-12-16T04:37:00+01:00,211.0,50.107347,8.662761,120,train
8,10,Hanau Hbf,2017-12-16T05:20:00+01:00,2017-12-16T05:21:00+01:00,1600.0,50.120912,8.929246,2580,car
9,11,Fulda,2017-12-16T06:02:00+01:00,2017-12-16T06:04:00+01:00,3175.0,50.554794,9.684169,2460,train
10,12,Kassel-Wilhelmshöhe,2017-12-16T06:34:00+01:00,2017-12-16T06:36:00+01:00,4400.0,51.312998,9.446845,1800,train
11,13,Göttingen,2017-12-16T06:54:00+01:00,2017-12-16T06:55:00+01:00,2674.0,51.536758,9.926249,1080,train
12,14,Hildesheim Hbf,2017-12-16T07:35:00+01:00,2017-12-16T07:37:00+01:00,3667.0,52.160169,9.952272,2400,train
13,15,Braunschweig Hbf,2017-12-16T07:59:00+01:00,2017-12-16T08:01:00+01:00,2378.0,52.252128,10.540427,1320,train
14,16,Wolfsburg Hbf,2017-12-16T08:17:00+01:00,2017-12-16T08:19:00+01:00,1707.0,52.429495,10.787748,960,train
15,19,Berlin Hbf (tief),2017-12-16T09:40:00+01:00,2017-12-16T09:42:00+01:00,543.0,52.52585,13.368883,4860,car
16,20,Berlin Gesundbrunnen,2017-12-16T09:46:00+01:00,2017-12-16T09:49:00+01:00,466.0,52.548656,13.39106,240,train
17,21,Oranienburg,2017-12-16T10:10:00+01:00,2017-12-16T10:11:00+01:00,2095.0,52.754697,13.249084,1260,train
18,22,Löwenberg(Mark),2017-12-16T10:23:00+01:00,2017-12-16T10:23:00+01:00,1497.0,52.89679,13.190025,720,train
19,23,Gransee,2017-12-16T10:32:00+01:00,2017-12-16T10:33:00+01:00,900.0,53.001056,13.16712,540,train
20,24,Fürstenberg(Havel),2017-12-16T10:45:00+01:00,2017-12-16T10:46:00+01:00,1337.0,53.186791,13.139371,720,train
21,25,Neustrelitz Hbf,2017-12-16T10:57:00+01:00,2017-12-16T11:01:00+01:00,1271.0,53.359249,13.074523,660,train
22,26,Blankensee(Meckl),2017-12-16T11:11:00+01:00,2017-12-16T11:11:00+01:00,1408.0,53.408141,13.26299,600,train
23,27,Cammin(Meckl),2017-12-16T11:15:00+01:00,2017-12-16T11:15:00+01:00,660.0,53.438983,13.299765,240,train
24,28,Burg Stargard(Meckl),2017-12-16T11:22:00+01:00,2017-12-16T11:22:00+01:00,677.0,53.499562,13.303127,420,train
25,29,Neubrandenburg,2017-12-16T11:30:00+01:00,2017-12-16T11:31:00+01:00,669.0,53.561893,13.261381,480,train
