,name,arrival,departure,drivingTimeFromPreviousStationInSeconds,latitude,longitude
0,Bad Homburg,2017-12-16T12:30:00+01:00,2017-12-16T12:30:00+01:00,0.0,50.220009,8.621347
1,Oberursel(Taunus),2017-12-16T12:33:00+01:00,2017-12-16T12:34:00+01:00,482.0,50.198687,8.587791
2,Oberursel-Stierstadt,2017-12-16T12:36:00+01:00,2017-12-16T12:36:00+01:00,363.0,50.185203,8.584788
3,OberurselWeißkirchen/Steinbach,2017-12-16T12:37:00+01:00,2017-12-16T12:38:00+01:00,183.0,50.173831,8.586838
4,Frankfurt-Rödelheim,2017-12-16T12:42:00+01:00,2017-12-16T12:42:00+01:00,769.0,50.124517,8.607028
5,Frankfurt(Main)West,2017-12-16T12:45:00+01:00,2017-12-16T12:45:00+01:00,610.0,50.119204,8.639326
6,Frankfurt(Main)Messe,2017-12-16T12:47:00+01:00,2017-12-16T12:47:00+01:00,121.0,50.112013,8.643434
7,Frankfurt(M)Galluswarte,2017-12-16T12:48:00+01:00,2017-12-16T12:49:00+01:00,192.0,50.104767,8.644
8,Frankfurt Hbf (tief),2017-12-16T12:51:00+01:00,2017-12-16T12:52:00+01:00,277.0,50.107347,8.662761
9,Frankfurt(Main)Hbf,,2017-12-16T13:02:00+01:00,2.0,50.106817,8.662994
10,Erfurt Hbf,2017-12-16T15:07:00+01:00,2017-12-16T15:09:00+01:00,8111.0,50.972244,11.038178
11,Halle(Saale)Hbf,2017-12-16T15:43:00+01:00,2017-12-16T15:45:00+01:00,4282.0,51.477087,11.986999
12,Berlin Südkreuz,2017-12-16T16:51:00+01:00,,6197.0,52.47623,13.365854
13,Berlin Hbf (tief),2017-12-16T16:58:00+01:00,,748.0,52.52585,13.368883
14,Berlin Gesundbrunnen,2017-12-16T17:46:00+01:00,2017-12-16T17:49:00+01:00,547.0,52.548656,13.39106
15,Oranienburg,2017-12-16T18:10:00+01:00,2017-12-16T18:11:00+01:00,2096.0,52.754697,13.249084
16,Löwenberg(Mark),2017-12-16T18:23:00+01:00,2017-12-16T18:24:00+01:00,1480.0,52.89679,13.190025
17,Gransee,2017-12-16T18:32:00+01:00,2017-12-16T18:33:00+01:00,944.0,53.001056,13.16712
18,Fürstenberg(Havel),2017-12-16T18:45:00+01:00,2017-12-16T18:46:00+01:00,1419.0,53.186791,13.139371
19,Neustrelitz Hbf,2017-12-16T18:57:00+01:00,2017-12-16T19:01:00+01:00,1252.0,53.359249,13.074523
20,Blankensee(Meckl),2017-12-16T19:11:00+01:00,2017-12-16T19:11:00+01:00,1370.0,53.408141,13.26299
21,Cammin(Meckl),2017-12-16T19:15:00+01:00,2017-12-16T19:15:00+01:00,660.0,53.438983,13.299765
22,Burg Stargard(Meckl),2017-12-16T19:22:00+01:00,2017-12-16T19:22:00+01:00,690.0,53.499562,13.303127
23,Neubrandenburg,2017-12-16T19:30:00+01:00,2017-12-16T19:31:00+01:00,676.0,53.561893,13.261381
