,index,name,arrival,departure,drivingTimeFromPreviousStationInSeconds,latitude,longitude,train_duration,medium
0,0,Bad Homburg,2017-12-16T12:30:00+01:00,2017-12-16T12:30:00+01:00,0.0,50.220009,8.621347,0,train
1,1,Oberursel(Taunus),2017-12-16T12:33:00+01:00,2017-12-16T12:34:00+01:00,482.0,50.198687,8.587791,180,train
2,2,Oberursel-Stierstadt,2017-12-16T12:36:00+01:00,2017-12-16T12:36:00+01:00,363.0,50.185203,8.584788,120,train
3,3,OberurselWeißkirchen/Steinbach,2017-12-16T12:37:00+01:00,2017-12-16T12:38:00+01:00,183.0,50.173831,8.586838,60,train
4,4,Frankfurt-Rödelheim,2017-12-16T12:42:00+01:00,2017-12-16T12:42:00+01:00,769.0,50.124517,8.607028,240,train
5,5,Frankfurt(Main)West,2017-12-16T12:45:00+01:00,2017-12-16T12:45:00+01:00,610.0,50.119204,8.639326,180,train
6,6,Frankfurt(Main)Messe,2017-12-16T12:47:00+01:00,2017-12-16T12:47:00+01:00,121.0,50.112013,8.643434,120,train
7,7,Frankfurt(M)Galluswarte,2017-12-16T12:48:00+01:00,2017-12-16T12:49:00+01:00,192.0,50.104767,8.644,60,train
8,8,Frankfurt Hbf (tief),2017-12-16T12:51:00+01:00,2017-12-16T12:52:00+01:00,277.0,50.107347,8.662761,120,train
9,9,Frankfurt(Main)Hbf,2017-12-16T13:02:00+01:00,2017-12-16T13:02:00+01:00,2.0,50.106817,8.662994,600,car
10,10,Erfurt Hbf,2017-12-16T15:07:00+01:00,2017-12-16T15:09:00+01:00,8111.0,50.972244,11.038178,7500,train
11,11,Halle(Saale)Hbf,2017-12-16T15:43:00+01:00,2017-12-16T15:45:00+01:00,4282.0,51.477087,11.986999,2040,train
12,12,Berlin Südkreuz,2017-12-16T16:51:00+01:00,2017-12-16T16:51:00+01:00,6197.0,52.47623,13.365854,3960,train
13,13,Berlin Hbf (tief),2017-12-16T16:58:00+01:00,2017-12-16T16:58:00+01:00,748.0,52.52585,13.368883,420,train
14,14,Berlin Gesundbrunnen,2017-12-16T17:46:00+01:00,2017-12-16T17:49:00+01:00,547.0,52.548656,13.39106,2880,car
15,15,Oranienburg,2017-12-16T18:10:00+01:00,2017-12-16T18:11:00+01:00,2096.0,52.754697,13.249084,1260,train
16,16,Löwenberg(Mark),2017-12-16T18:23:00+01:00,2017-12-16T18:24:00+01:00,1480.0,52.89679,13.190025,720,train
17,17,Gransee,2017-12-16T18:32:00+01:00,2017-12-16T18:33:00+01:00,944.0,53.001056,13.16712,480,train
18,18,Fürstenberg(Havel),2017-12-16T18:45:00+01:00,2017-12-16T18:46:00+01:00,1419.0,53.186791,13.139371,720,train
19,19,Neustrelitz Hbf,2017-12-16T18:57:00+01:00,2017-12-16T19:01:00+01:00,1252.0,53.359249,13.074523,660,train
20,20,Blankensee(Meckl),2017-12-16T19:11:00+01:00,2017-12-16T19:11:00+01:00,1370.0,53.408141,13.26299,600,train
21,21,Cammin(Meckl),2017-12-16T19:15:00+01:00,2017-12-16T19:15:00+01:00,660.0,53.438983,13.299765,240,train
22,22,Burg Stargard(Meckl),2017-12-16T19:22:00+01:00,2017-12-16T19:22:00+01:00,690.0,53.499562,13.303127,420,train
23,23,Neubrandenburg,2017-12-16T19:30:00+01:00,2017-12-16T19:31:00+01:00,676.0,53.561893,13.261381,480,train
