,name,arrival,departure,drivingTimeFromPreviousStationInSeconds,latitude,longitude
0,Bad Homburg,2017-12-16T04:14:00+01:00,2017-12-16T04:15:00+01:00,,50.220009,8.621347
1,Oberursel(Taunus),2017-12-16T04:18:00+01:00,2017-12-16T04:19:00+01:00,455.0,50.198687,8.587791
2,Oberursel-Stierstadt,2017-12-16T04:21:00+01:00,2017-12-16T04:21:00+01:00,329.0,50.185203,8.584788
3,OberurselWeißkirchen/Steinbach,2017-12-16T04:22:00+01:00,2017-12-16T04:23:00+01:00,184.0,50.173831,8.586838
4,Frankfurt-Rödelheim,2017-12-16T04:27:00+01:00,2017-12-16T04:27:00+01:00,707.0,50.124517,8.607028
5,Frankfurt(Main)West,2017-12-16T04:30:00+01:00,2017-12-16T04:30:00+01:00,605.0,50.119204,8.639326
6,Frankfurt(Main)Messe,2017-12-16T04:32:00+01:00,2017-12-16T04:32:00+01:00,133.0,50.112013,8.643434
7,Frankfurt(M)Galluswarte,2017-12-16T04:33:00+01:00,2017-12-16T04:34:00+01:00,165.0,50.104767,8.644
8,Frankfurt Hbf (tief),2017-12-16T04:36:00+01:00,2017-12-16T04:37:00+01:00,211.0,50.107347,8.662761
9,Frankfurt(Main)Hbf,,2017-12-16T05:06:00+01:00,2.0,50.106817,8.662994
10,Hanau Hbf,2017-12-16T05:20:00+01:00,2017-12-16T05:21:00+01:00,1600.0,50.120912,8.929246
11,Fulda,2017-12-16T06:02:00+01:00,2017-12-16T06:04:00+01:00,3175.0,50.554794,9.684169
12,Kassel-Wilhelmshöhe,2017-12-16T06:34:00+01:00,2017-12-16T06:36:00+01:00,4400.0,51.312998,9.446845
13,Göttingen,2017-12-16T06:54:00+01:00,2017-12-16T06:55:00+01:00,2674.0,51.536758,9.926249
14,Hildesheim Hbf,2017-12-16T07:35:00+01:00,2017-12-16T07:37:00+01:00,3667.0,52.160169,9.952272
15,Braunschweig Hbf,2017-12-16T07:59:00+01:00,2017-12-16T08:01:00+01:00,2378.0,52.252128,10.540427
16,Wolfsburg Hbf,2017-12-16T08:17:00+01:00,2017-12-16T08:19:00+01:00,1707.0,52.429495,10.787748
17,Berlin-Spandau,2017-12-16T09:12:00+01:00,,7394.0,52.533787,13.200965
18,Berlin Hbf,2017-12-16T09:27:00+01:00,,1279.0,52.524924,13.36962
19,Berlin Hbf (tief),2017-12-16T09:40:00+01:00,2017-12-16T09:42:00+01:00,543.0,52.52585,13.368883
20,Berlin Gesundbrunnen,2017-12-16T09:46:00+01:00,2017-12-16T09:49:00+01:00,466.0,52.548656,13.39106
21,Oranienburg,2017-12-16T10:10:00+01:00,2017-12-16T10:11:00+01:00,2095.0,52.754697,13.249084
22,Löwenberg(Mark),2017-12-16T10:23:00+01:00,2017-12-16T10:23:00+01:00,1497.0,52.89679,13.190025
23,Gransee,2017-12-16T10:32:00+01:00,2017-12-16T10:33:00+01:00,900.0,53.001056,13.16712
24,Fürstenberg(Havel),2017-12-16T10:45:00+01:00,2017-12-16T10:46:00+01:00,1337.0,53.186791,13.139371
25,Neustrelitz Hbf,2017-12-16T10:57:00+01:00,2017-12-16T11:01:00+01:00,1271.0,53.359249,13.074523
26,Blankensee(Meckl),2017-12-16T11:11:00+01:00,2017-12-16T11:11:00+01:00,1408.0,53.408141,13.26299
27,Cammin(Meckl),2017-12-16T11:15:00+01:00,2017-12-16T11:15:00+01:00,660.0,53.438983,13.299765
28,Burg Stargard(Meckl),2017-12-16T11:22:00+01:00,2017-12-16T11:22:00+01:00,677.0,53.499562,13.303127
29,Neubrandenburg,2017-12-16T11:30:00+01:00,2017-12-16T11:31:00+01:00,669.0,53.561893,13.261381
